COMMAND   PID     USER   FD   TYPE             DEVICE  SIZE/OFF                NODE NAME
java    32434 mbennett  txt    REG               1,13   7911096 1152921500312099837 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/Aqua.car
java    32434 mbennett  txt    REG               1,13   8333964 1152921500312138277 /System/Library/Fonts/SFNS.ttf
java    32434 mbennett  txt    REG               1,13 160168520 1152921500312345091 /System/Library/PrivateFrameworks/SFSymbols.framework/Versions/A/Resources/CoreGlyphs.bundle/Contents/Resources/Assets.car
java    32434 mbennett  txt    REG               1,13   1235152           235430533 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libawt_lwawt.dylib
java    32434 mbennett  txt    REG               1,13   5079040           234954717 /private/var/folders/y3/rxnq666x3cq3c76ss368pdpc0000gp/C/net.java.openjdk.java/com.apple.metal/16777235_467/functions.data
java    32434 mbennett  txt    REG               1,13   1231424           235430551 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libfontmanager.dylib
java    32434 mbennett  txt    REG               1,13    629792           235430509 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libfreetype.dylib
java    32434 mbennett  txt    REG               1,13   4292608           235039265 /private/var/folders/y3/rxnq666x3cq3c76ss368pdpc0000gp/C/net.java.openjdk.java/com.apple.metal/32024/libraries.data
java    32434 mbennett  txt    REG               1,13    750984 1152921500312138314 /System/Library/Fonts/Supplemental/Arial Bold.ttf
java    32434 mbennett  txt    REG               1,13    773236 1152921500312138330 /System/Library/Fonts/Supplemental/Arial.ttf
java    32434 mbennett  txt    REG               1,13  14532608           235430537 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/server/classes.jsa
java    32434 mbennett    0   PIPE 0x9bdce78a3d2041d8     16384                     ->0x4728c0bd0fa9a979
java    32434 mbennett    1   PIPE 0x7c05635feadbd3b2     16384                     
java    32434 mbennett    2   PIPE 0x3a1e08b7fc109653     16384                     ->0x6e661d0f13d25f4a
